"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 361] best=0.8311  mean=0.6467
[Gen 362] best=0.8311  mean=0.6336
[Gen 363] best=0.8320  mean=0.6824
[Gen 364] best=0.8320  mean=0.6693
[Gen 365] best=0.8320  mean=0.6455
[Gen 366] best=0.8320  mean=0.6214
[Gen 367] best=0.8320  mean=0.5894
[Gen 368] best=0.8320  mean=0.6402
[Gen 369] best=0.8320  mean=0.6311
[Gen 370] best=0.8320  mean=0.6748
[Gen 371] best=0.8320  mean=0.6585
[Gen 372] best=0.8320  mean=0.6785
[Gen 373] best=0.8320  mean=0.6645
[Gen 374] best=0.8320  mean=0.6346
[Gen 375] best=0.8320  mean=0.6892
[Gen 376] best=0.8320  mean=0.6310
[Gen 377] best=0.8320  mean=0.6486
[Gen 378] best=0.8320  mean=0.6883
[Gen 379] best=0.8320  mean=0.6524
[Gen 380] best=0.8320  mean=0.6218
[Gen 381] best=0.8320  mean=0.6707
[Gen 382] best=0.8320  mean=0.6540
[Gen 383] best=0.8320  mean=0.6564
[Gen 384] best=0.8320  mean=0.6645
[Gen 385] best=0.8320  mean=0.6623
[Gen 386] best=0.8320  mean=0.6228
[Gen 387] best=0.8320  mean=0.6449
[Gen 388] best=0.8320  mean=0.6742
[Gen 389] best=0.8320  mean=0.6389
[Gen 390] best=0.8320  mean=0.6201
[Gen 391] best=0.8320  mean=0.6820
[Gen 392] best=0.8320  mean=0.6444
[Gen 393] best=0.8320  mean=0.6303
[Gen 394] best=0.8320  mean=0.6581
[Gen 395] best=0.8320  mean=0.6265
[Gen 396] best=0.8320  mean=0.6574
[Gen 397] best=0.8320  mean=0.6474
[Gen 398] best=0.8320  mean=0.6610
[Gen 399] best=0.8320  mean=0.6976
[Gen 400] best=0.8320  mean=0.6565
[Gen 401] best=0.8320  mean=0.6788
[Gen 402] best=0.8320  mean=0.6450
[Gen 403] best=0.8320  mean=0.5646
[Gen 404] best=0.8320  mean=0.6343
[Gen 405] best=0.8320  mean=0.6385
[Gen 406] best=0.8320  mean=0.6522
[Gen 407] best=0.8320  mean=0.6251
[Gen 408] best=0.8320  mean=0.6631
[Gen 409] best=0.8320  mean=0.5912
[Gen 410] best=0.8320  mean=0.6015
[Gen 411] best=0.8320  mean=0.6778
[Gen 412] best=0.8320  mean=0.6472
[Gen 413] best=0.8320  mean=0.6622
[Gen 414] best=0.8320  mean=0.6457
[Gen 415] best=0.8320  mean=0.6097
[Gen 416] best=0.8320  mean=0.6545
[Gen 417] best=0.8320  mean=0.6012
[Gen 418] best=0.8320  mean=0.6419
[Gen 419] best=0.8320  mean=0.6235
[Gen 420] best=0.8320  mean=0.6016
[Gen 421] best=0.8320  mean=0.6342
[Gen 422] best=0.8320  mean=0.6624
[Gen 423] best=0.8320  mean=0.6087
[Gen 424] best=0.8320  mean=0.6706
[Gen 425] best=0.8320  mean=0.5840
[Gen 426] best=0.8320  mean=0.6446
[Gen 427] best=0.8320  mean=0.6167
[Gen 428] best=0.8320  mean=0.6593
[Gen 429] best=0.8320  mean=0.6031
[Gen 430] best=0.8320  mean=0.6430
[Gen 431] best=0.8320  mean=0.6576
[Gen 432] best=0.8320  mean=0.6020
[Gen 433] best=0.8320  mean=0.6811
[Gen 434] best=0.8320  mean=0.6629
[Gen 435] best=0.8320  mean=0.5965
[Gen 436] best=0.8320  mean=0.6813
[Gen 437] best=0.8320  mean=0.6405
[Gen 438] best=0.8320  mean=0.6431
[Gen 439] best=0.8320  mean=0.6051
[Gen 440] best=0.8320  mean=0.6526
[Gen 441] best=0.8320  mean=0.5924
[Gen 442] best=0.8320  mean=0.6496
[Gen 443] best=0.8320  mean=0.6187
[Gen 444] best=0.8320  mean=0.6119
[Gen 445] best=0.8320  mean=0.6062
[Gen 446] best=0.8320  mean=0.6428
[Gen 447] best=0.8320  mean=0.6587
[Gen 448] best=0.8320  mean=0.6434
[Gen 449] best=0.8320  mean=0.6222
[Gen 450] best=0.8320  mean=0.6369
[Gen 451] best=0.8320  mean=0.6432
[Gen 452] best=0.8320  mean=0.6391
[Gen 453] best=0.8320  mean=0.6280
[Gen 454] best=0.8320  mean=0.6201
[Gen 455] best=0.8320  mean=0.6313
[Gen 456] best=0.8320  mean=0.5405
[Gen 457] best=0.8320  mean=0.6083
[Gen 458] best=0.8320  mean=0.6215
[Gen 459] best=0.8320  mean=0.5931
[Gen 460] best=0.8320  mean=0.6206
[Gen 461] best=0.8320  mean=0.6208
[Gen 462] best=0.8320  mean=0.6458
[Gen 463] best=0.8320  mean=0.6215
[Gen 464] best=0.8320  mean=0.6572
[Gen 465] best=0.8320  mean=0.5937
[Gen 466] best=0.8320  mean=0.6105
[Gen 467] best=0.8320  mean=0.6377
[Gen 468] best=0.8320  mean=0.6111
[Gen 469] best=0.8320  mean=0.6311
[Gen 470] best=0.8320  mean=0.6751
[Gen 471] best=0.8320  mean=0.6464
[Gen 472] best=0.8320  mean=0.6415
